3376490 function calls (3371733 primitive calls) in 13.568 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3177    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     2344    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2198    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      329    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     6072    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
     2884    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     3685    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       18    0.001    0.000    0.037    0.002 {built-in method builtins.sorted}
      204    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     1965    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      404    0.001    0.000    0.022    0.000 genericpath.py:39(isdir)
       63    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
      274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      607    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    102/6    0.001    0.000    0.346    0.058 <frozen importlib._bootstrap_external>:777(exec_module)
      158    0.001    0.000    0.001    0.000 version.py:305(__str__)
     3104    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      138    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      586    0.001    0.000    0.014    0.000 version.py:107(__init__)
      288    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
      916    0.001    0.000    0.005    0.000 __init__.py:2041(<genexpr>)
      955    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
